"from" "to"
140 44
151 21
42 72
182 76
21 36
75 26
1 119
7 1
119 140
97 94
151 140
13 2
127 106
7 107
107 12
49 75
2 82
83 102
173 136
110 134
124 125
124 195
52 106
39 31
181 39
113 181
114 113
11 114
38 46
87 38
54 96
141 154
96 85
46 49
185 70
201 76
154 14
201 185
122 26
56 26
85 42
56 79
79 47
47 42
72 182
51 110
131 128
86 143
165 9
98 199
18 126
32 98
155 131
9 84
36 21
164 49
163 164
122 75
131 155
15 108
108 15
108 86
15 86
86 15
179 30
146 138
61 148
75 122
117 156
100 4
120 152
194 121
147 15
34 187
20 80
55 162
130 142
66 128
128 130
183 147
199 98
171 172
158 159
95 169
150 34
105 147
152 158
172 66
152 157
129 171
142 90
66 131
33 108
139 177
99 190
190 176
110 129
58 117
58 61
202 148
50 202
155 50
147 183
86 108
150 10
90 99
157 66
159 68
141 126
147 108
33 147
35 187
116 141
192 146
160 120
68 155
121 183
161 74
74 161
13 44
145 48
166 64
44 13
44 140
126 141
109 126
131 130
193 160
170 178
178 170
121 194
16 83
35 34
187 35
101 196
199 62
141 116
27 149
198 74
137 138
100 112
63 156
90 63
166 73
15 147
15 179
139 6
149 69
92 40
132 125
144 86
198 40
48 145
162 55
115 55
140 133
4 100
4 7
204 77
70 93
94 200
156 63
73 193
191 60
10 101
86 144
40 98
174 76
162 192
5 29
29 89
178 73
60 110
102 108
115 137
48 109
136 153
153 8
165 65
53 165
196 167
62 37
28 112
118 69
89 29
28 133
57 200
149 27
22 23
123 188
64 203
170 189
170 191
60 25
143 95
169 95
180 95
186 118
124 41
95 144
43 175
133 28
88 81
158 203
197 136
118 167
95 143
94 134
88 117
129 110
125 124
144 143
177 103
191 170
191 24
23 19
44 5
180 135
8 187
78 174
80 55
111 184
92 31
139 31
77 91
19 4
191 189
25 197
133 140
200 57
95 16
63 90
184 78
111 127
73 178
91 71
71 70
80 20
3 104
129 189
189 129
189 178
138 162
162 138
25 110
137 145
76 174
6 161
194 3
104 105
17 35
65 17
37 53
101 92
40 198
93 43
175 174
203 68
24 60
188 59
57 168
67 121
101 169
200 134
67 123
29 28
41 112
57 173
25 200
22 41
29 186
188 109
95 69
45 127
167 169
57 57
28 27
