"from" "to"
137 511
210 89
87 257
63 323
267 553
270 267
149 543
149 148
518 445
339 104
377 282
583 423
524 85
617 379
599 180
160 445
88 517
527 517
548 42
432 58
262 384
186 388
116 34
160 448
263 449
102 306
267 243
273 153
486 273
379 114
107 555
110 353
285 110
160 116
160 262
140 136
346 414
233 420
609 610
388 352
547 548
531 24
96 397
335 420
550 211
199 466
609 590
92 432
396 397
383 482
98 569
591 610
300 301
132 609
396 324
522 388
53 170
324 569
547 602
129 300
301 503
264 79
342 79
410 113
410 522
291 415
415 414
408 291
129 482
211 264
92 73
323 290
439 424
348 346
413 161
105 321
108 105
403 425
480 528
213 553
449 518
594 213
311 275
104 166
281 257
19 568
277 476
17 475
488 282
161 182
356 297
371 436
402 499
164 309
332 382
544 198
375 376
581 457
173 430
349 350
545 212
545 490
334 180
406 32
464 379
212 4
185 216
250 450
277 258
475 616
373 292
551 554
581 167
72 93
556 557
401 496
230 319
91 320
409 425
86 392
60 507
18 274
375 84
296 179
209 285
209 8
310 275
18 483
259 521
508 428
62 101
310 384
269 427
398 77
77 305
144 443
303 348
75 36
349 348
348 350
348 349
369 566
383 271
461 593
561 599
421 420
230 375
384 265
338 618
163 367
35 460
522 186
88 27
428 91
197 23
318 308
121 14
271 269
185 504
299 24
499 479
420 335
492 550
606 304
83 419
76 295
600 601
139 600
123 175
303 21
53 344
384 310
411 501
595 560
312 75
244 347
559 558
319 320
479 499
255 256
42 214
205 115
354 604
150 299
510 229
359 430
120 504
532 169
522 205
261 495
574 121
521 522
75 312
347 350
253 395
193 228
333 168
217 284
591 244
462 156
144 481
47 249
348 325
252 418
559 492
151 285
430 259
532 173
27 175
232 97
493 591
226 224
372 601
283 459
551 103
592 183
376 593
76 304
472 587
155 352
434 221
593 465
334 289
15 293
405 555
542 203
524 411
320 508
513 171
455 281
467 276
391 10
536 86
383 269
189 357
125 330
246 144
497 130
183 332
603 177
436 405
451 276
280 171
238 49
317 28
496 332
576 319
416 380
158 389
474 12
12 374
523 374
431 4
3 101
580 471
59 592
576 91
8 468
598 44
369 500
598 91
453 198
259 564
575 613
401 322
508 320
283 203
66 317
552 604
202 534
35 124
354 548
608 225
341 588
370 289
55 165
210 431
1 57
147 16
225 511
297 196
19 507
67 33
382 183
226 519
171 513
232 486
541 475
302 541
5 483
275 86
596 247
246 297
596 194
327 444
428 62
64 444
459 604
317 191
276 451
587 118
95 33
67 171
62 314
528 147
485 147
125 32
534 537
467 528
16 508
13 143
190 357
367 143
496 183
561 465
84 389
124 265
23 177
3 41
468 362
151 41
552 283
481 461
46 80
516 381
556 241
187 229
422 386
134 133
469 4
133 361
340 318
367 122
93 537
268 21
500 369
360 248
295 515
598 209
196 288
541 238
513 225
78 146
355 446
119 615
115 120
501 411
132 550
433 184
333 516
462 611
127 39
611 256
261 181
245 440
592 130
370 465
596 474
352 14
61 454
217 141
585 125
316 475
500 288
610 134
236 519
320 319
422 127
395 201
228 462
443 566
561 369
543 401
564 584
289 45
83 540
510 584
561 180
427 39
249 252
29 391
12 585
365 563
378 370
249 248
471 580
37 255
359 57
210 296
154 143
492 211
271 383
159 224
57 143
439 427
127 516
181 120
442 475
607 201
242 383
167 554
