"from" "to"
94 354
13 330
33 371
318 176
291 12
15 228
128 198
192 365
324 291
201 21
328 194
162 73
135 86
72 183
12 80
193 43
157 328
339 148
335 197
184 57
51 135
134 216
236 331
176 224
246 335
63 217
179 121
183 203
179 337
217 251
203 51
103 18
221 72
73 126
46 44
194 221
86 46
80 157
148 134
251 226
44 147
9 179
147 103
245 184
137 236
126 140
14 252
168 195
371 14
365 318
279 339
320 193
53 63
343 59
337 33
18 246
218 359
216 218
59 168
31 182
161 326
276 280
182 276
124 233
359 162
327 53
21 326
239 256
298 13
16 123
22 23
292 255
154 164
260 20
178 179
223 138
264 45
354 143
66 24
42 58
281 241
243 366
308 175
113 22
23 11
241 105
307 284
130 237
160 307
204 346
4 235
259 242
213 113
255 238
58 114
366 287
266 5
230 139
3 35
37 346
115 160
302 223
159 130
284 278
353 159
253 109
6 94
241 243
360 6
346 150
309 2
138 122
142 353
20 91
11 115
123 42
47 283
175 62
34 7
235 117
287 360
118 227
52 298
117 71
278 309
5 369
110 161
256 340
45 154
7 225
139 285
2 308
122 213
330 66
228 79
349 37
301 250
227 47
242 34
35 110
346 260
49 281
250 253
91 16
105 302
225 4
293 201
120 204
238 142
348 120
150 259
71 49
229 367
226 170
280 102
224 174
15 343
121 167
170 9
252 245
48 192
158 17
24 158
143 239
197 320
273 78
70 125
344 149
295 165
165 264
279 185
102 295
297 301
17 54
109 264
54 297
234 196
107 372
372 266
156 107
283 156
349 118
161 237
237 349
214 344
149 145
1 127
189 270
127 189
270 70
282 273
369 102
349 282
273 234
196 66
237 273
321 8
78 66
96 299
248 152
233 327
190 96
345 317
97 275
310 205
234 161
327 321
289 166
166 355
38 206
206 90
90 289
212 29
306 310
269 173
25 48
268 76
85 106
163 268
39 163
87 10
186 232
153 325
75 187
187 231
144 75
363 315
67 19
19 272
29 55
28 198
336 85
263 92
92 341
347 172
341 208
210 244
125 100
207 220
82 300
332 146
265 305
104 30
319 323
136 248
199 214
355 288
202 368
322 258
27 60
315 81
81 296
373 357
195 119
310 212
60 74
205 39
232 141
305 304
169 314
10 28
364 84
84 186
325 207
36 82
334 137
133 311
311 177
316 40
323 132
132 257
145 1
95 202
368 104
177 101
76 247
141 99
261 373
48 269
314 133
56 313
288 50
99 240
116 336
267 169
146 88
247 116
77 229
88 334
331 262
262 261
173 77
219 190
299 319
66 32
111 65
244 111
119 322
208 188
106 27
188 356
356 267
180 306
264 124
271 352
32 234
68 171
350 370
370 67
129 351
362 129
50 210
112 362
61 89
358 61
100 254
200 303
303 211
294 364
277 56
151 87
64 151
220 36
240 153
357 83
345 332
83 131
131 249
30 265
249 95
274 329
286 342
304 286
290 263
101 144
296 361
172 209
209 316
257 274
329 136
254 279
152 222
258 200
41 38
300 345
74 25
108 277
198 294
351 41
352 112
171 312
198 333
26 68
55 333
211 155
327 69
181 338
312 350
272 271
155 180
231 347
93 26
342 290
338 219
361 191
97 98
65 358
89 199
313 64
69 93
185 195
40 363
191 215
215 181
222 98
8 66
