"from" "to"
24 67
50 58
115 26
121 88
69 118
32 25
127 115
39 103
78 125
32 131
20 114
45 49
34 134
57 73
124 20
67 94
89 76
76 123
14 112
47 72
26 133
26 22
59 20
135 106
95 67
68 136
15 17
34 131
72 47
42 126
28 91
110 47
112 4
65 74
38 80
30 109
28 102
23 40
5 101
25 120
83 82
82 8
66 120
56 58
119 57
86 74
135 6
7 123
111 13
46 123
49 1
37 46
106 51
135 80
27 33
24 14
6 119
40 42
80 88
25 97
22 70
39 10
90 112
114 47
87 86
61 59
117 124
122 128
63 37
129 86
5 131
10 72
134 34
132 106
17 133
99 75
111 132
102 111
46 117
133 26
66 88
35 62
98 113
73 119
15 98
11 23
67 14
49 46
37 49
23 7
91 90
117 1
75 9
123 53
21 92
8 116
80 111
103 9
88 121
33 134
94 95
116 94
77 75
23 43
88 80
123 7
124 56
70 56
62 17
60 61
73 82
92 80
89 54
87 129
51 73
108 77
100 54
114 108
10 39
108 114
86 43
78 100
123 64
59 124
114 122
131 134
37 45
4 60
135 132
47 114
97 15
20 122
91 28
102 91
100 29
126 104
87 126
101 63
125 126
43 129
7 125
134 35
10 47
47 108
117 128
13 12
12 16
30 111
121 13
83 57
85 55
120 121
31 16
118 68
55 56
130 79
84 1
23 44
133 130
10 9
16 31
31 30
30 31
99 53
27 17
38 92
46 76
52 21
105 52
26 17
9 75
81 21
109 28
45 37
34 27
96 3
2 135
110 61
129 41
38 66
19 2
90 24
111 28
76 78
1 117
18 85
24 51
75 77
77 128
107 52
48 35
119 136
111 106
35 45
62 93
79 96
44 99
19 92
62 71
99 11
105 19
53 64
69 107
43 23
93 48
118 105
64 128
3 18
58 60
132 135
68 118
119 6
118 69
26 115
131 34
81 38
56 59
19 119
78 29
71 36
17 62
51 82
36 84
41 43
127 28
126 87
6 106
95 94
16 17
29 104
87 65
18 1
21 38
102 90
83 136
