"from" "to"
529 456
214 46
157 516
425 255
253 518
347 522
130 275
302 475
133 189
544 535
255 254
166 293
46 3
3 334
334 43
84 85
85 392
534 481
481 302
362 281
332 333
25 352
420 28
398 141
265 470
335 118
85 314
360 322
306 305
404 265
403 404
470 176
176 460
460 461
305 304
474 230
446 370
497 22
314 61
139 509
224 314
509 456
141 446
539 181
5 123
275 302
22 398
273 495
135 224
272 135
522 60
411 253
122 273
60 277
181 142
141 539
398 427
530 406
414 510
52 414
114 52
210 114
45 210
258 45
300 59
362 300
281 362
406 335
284 214
370 543
510 530
333 258
194 309
536 317
518 347
302 425
314 544
401 420
486 474
133 284
234 306
354 234
428 332
489 54
298 229
541 542
117 360
218 127
489 346
453 489
76 156
218 94
236 541
100 360
54 346
346 489
163 506
108 484
494 132
404 403
369 237
451 341
527 267
229 298
49 236
219 269
515 242
303 155
226 394
93 507
488 487
393 84
353 443
325 353
104 113
443 144
144 228
345 329
48 49
39 345
527 415
70 380
296 48
38 150
233 178
34 415
357 26
192 496
97 38
367 233
419 473
30 208
356 37
455 286
38 138
144 209
110 213
26 537
167 465
415 430
227 240
380 227
74 415
394 348
57 203
348 357
448 290
499 2
206 517
308 192
235 467
36 543
35 36
516 132
150 499
508 507
479 232
240 21
188 529
243 447
313 243
358 163
513 80
512 64
121 513
447 121
506 56
355 313
507 488
543 308
468 452
445 263
263 65
537 263
239 235
543 239
467 97
138 206
160 327
403 493
423 110
159 376
28 325
361 435
525 298
174 377
409 324
186 58
466 74
430 70
68 39
156 124
124 76
464 68
231 516
484 174
56 261
261 410
298 492
492 476
242 237
219 8
100 117
311 385
385 388
388 409
487 355
125 303
344 278
329 336
494 493
377 404
441 410
37 296
8 455
376 286
476 159
286 512
80 311
203 445
452 57
197 287
435 35
344 197
155 468
290 226
287 361
232 144
496 179
179 479
421 358
64 421
213 464
465 31
280 160
269 67
67 186
542 269
454 466
94 218
65 434
293 166
333 285
395 100
73 218
218 73
434 73
434 65
324 409
328 207
12 441
441 304
410 441
412 423
153 412
13 305
132 516
17 20
20 16
19 143
78 528
365 364
69 4
341 340
18 202
20 17
18 17
298 525
444 520
512 286
76 75
346 545
218 217
156 76
521 278
448 34
65 91
75 201
346 54
249 96
88 93
209 294
65 444
434 91
511 123
409 199
168 164
471 79
99 407
113 107
473 77
77 431
312 395
29 30
12 477
44 321
321 249
34 95
514 55
237 72
55 312
399 318
490 375
359 383
482 15
15 299
483 498
504 82
363 66
165 261
188 317
391 183
502 94
7 465
32 336
257 372
172 332
508 429
211 339
327 160
41 514
208 503
516 504
212 525
526 154
459 152
338 405
187 418
178 15
422 372
383 389
431 416
359 175
502 242
340 369
378 328
51 169
408 301
173 204
396 450
442 436
40 462
374 109
160 331
196 531
72 205
439 219
129 439
266 526
382 78
230 391
37 356
307 270
66 307
288 469
274 134
170 24
402 170
225 69
343 225
50 343
270 50
519 212
525 523
274 307
342 92
95 326
381 54
326 319
397 126
438 397
291 442
436 524
2 291
390 384
23 532
251 390
532 252
437 192
350 342
516 231
92 89
143 453
16 21
349 190
517 148
277 216
485 294
294 485
15 338
202 19
485 228
6 297
96 209
246 401
453 268
477 351
12 108
188 190
220 146
146 166
56 13
449 355
73 158
217 73
248 274
270 382
365 366
364 363
16 365
16 363
366 248
218 434
219 128
127 218
387 276
4 288
533 387
252 437
76 71
140 23
89 156
350 124
384 140
86 88
87 86
91 87
158 342
125 251
517 125
148 1
524 438
436 521
1 2
344 349
126 448
434 342
199 195
458 379
137 331
98 200
11 40
250 10
10 9
351 244
9 220
462 250
31 262
262 211
53 432
320 53
450 402
184 101
149 184
105 149
282 501
62 105
180 41
24 180
238 396
276 151
151 491
491 229
205 519
101 320
211 368
523 4
310 167
260 173
102 221
292 102
323 196
433 116
373 433
257 119
177 168
368 177
171 283
164 426
371 330
440 371
330 257
106 440
106 11
336 260
426 372
107 289
289 161
161 7
283 459
472 315
245 472
285 245
103 104
316 103
115 428
281 280
407 172
175 187
416 259
500 77
63 215
136 193
83 111
295 264
193 383
241 279
201 241
413 395
424 413
191 424
279 191
117 162
278 344
454 381
223 271
271 266
90 502
400 98
131 14
14 185
185 247
42 182
127 533
386 143
387 90
377 493
493 494
108 377
304 12
189 120
319 267
349 189
82 12
520 93
134 451
528 230
101 339
167 316
165 293
280 79
81 137
421 64
163 358
242 515
363 248
434 94
507 508
228 81
178 482
192 6
216 511
545 21
349 344
278 150
150 206
57 508
190 189
423 33
112 483
498 198
480 194
355 44
194 504
372 257
116 27
27 374
204 408
301 378
505 25
257 256
298 238
104 332
293 165
18 20
238 492
64 512
358 421
228 485
299 325
299 338
429 321
321 96
340 242
147 515
147 502
332 104
324 115
318 37
33 112
244 153
304 305
449 71
128 58
375 399
538 129
183 356
469 538
360 62
317 457
47 454
457 47
162 282
367 522
405 63
297 246
259 359
215 500
264 136
111 295
353 83
299 28
200 182
58 480
410 165
56 163
463 505
207 463
169 503
301 51
247 42
221 32
109 292
51 400
478 310
501 478
531 131
256 323
119 373
432 422
195 327
315 171
99 362
222 471
81 458
389 222
337 264
379 337
120 123
267 340
268 223
