"from" "to"
258 177
106 27
74 61
190 38
322 21
288 217
224 126
71 265
144 228
186 184
125 224
184 82
119 116
268 296
161 275
238 78
275 287
40 89
268 288
287 218
206 200
112 219
200 275
89 152
162 144
233 139
139 321
218 217
61 210
228 233
282 151
27 155
296 218
176 71
40 206
268 23
263 40
263 206
324 277
274 224
7 65
158 198
257 125
165 257
320 267
52 94
225 65
240 209
191 324
125 274
56 274
56 125
250 66
66 65
238 267
220 78
143 197
61 163
239 15
266 312
318 317
246 245
300 147
187 222
281 252
252 74
208 159
166 187
159 281
203 311
312 208
2 166
147 2
15 84
23 203
22 263
106 110
21 239
177 299
299 265
97 53
311 315
81 300
150 167
137 68
25 266
162 12
81 196
196 265
290 296
93 235
296 284
63 26
45 306
212 32
105 129
152 45
321 82
217 162
315 260
260 186
297 195
306 5
5 322
82 81
32 161
155 25
195 29
248 150
255 105
284 207
68 290
106 63
110 79
234 29
167 73
176 234
18 323
126 130
136 186
244 171
153 22
90 137
79 72
276 136
128 153
276 131
131 297
72 93
116 323
8 118
118 248
39 47
47 128
276 122
16 90
122 293
145 18
235 8
35 52
301 90
77 94
195 149
149 145
39 316
94 102
52 254
254 227
309 293
119 279
293 107
17 235
256 135
219 39
56 154
209 17
102 37
209 97
114 119
140 31
31 256
129 309
279 307
130 112
140 16
107 194
135 294
140 4
60 314
294 255
194 70
213 120
53 64
314 270
270 114
307 141
4 124
11 213
317 60
37 6
240 17
107 236
70 285
285 318
146 282
130 191
191 277
64 274
180 253
324 158
253 277
298 230
185 95
95 180
120 185
124 304
304 146
6 313
313 141
151 11
56 14
141 174
236 157
56 33
257 158
174 221
165 125
33 303
303 240
154 211
157 214
221 43
43 115
115 178
211 271
271 9
54 165
214 292
292 305
261 243
9 20
244 225
98 133
178 109
243 54
9 99
99 98
46 108
305 59
109 291
305 103
291 13
13 148
133 134
103 273
28 261
273 76
7 225
108 148
320 46
133 132
76 44
319 272
65 179
272 148
117 113
168 28
143 231
231 267
220 41
121 308
113 169
169 168
164 3
42 238
238 220
179 111
242 117
44 250
250 65
183 242
325 7
173 289
170 172
3 183
66 244
65 80
247 183
57 247
87 173
80 278
171 205
193 298
298 319
295 193
69 215
319 192
308 164
278 269
205 36
36 170
204 325
142 143
172 87
192 142
100 295
78 283
308 286
216 142
269 229
229 100
88 123
160 57
226 204
286 67
170 223
283 58
223 69
67 92
215 326
302 216
24 188
30 241
241 160
92 326
85 86
201 189
189 170
91 326
251 51
51 302
188 30
1 190
38 226
30 181
58 96
251 237
96 85
232 262
75 1
181 182
182 34
259 201
237 232
19 201
86 62
123 75
310 249
249 91
34 101
262 48
127 251
101 55
55 202
202 83
48 327
138 156
104 127
327 199
199 245
83 280
34 175
245 88
280 49
10 104
49 50
50 138
264 10
