"from" "to"
258 576
568 1107
142 401
253 159
789 94
633 790
201 1020
1110 844
350 360
554 584
127 669
627 1121
491 942
942 748
90 472
1025 1036
1000 674
891 500
313 218
906 198
272 632
480 253
321 320
54 53
286 986
126 134
206 1035
360 448
138 852
70 451
237 108
708 1017
729 512
168 635
363 207
181 608
739 315
550 109
879 822
446 738
878 770
50 705
590 648
837 934
154 323
904 738
645 181
600 340
879 1087
879 900
946 1067
323 348
451 496
409 149
361 950
419 645
619 769
139 108
27 989
822 765
1060 866
628 389
1047 319
1077 411
339 350
1121 755
512 542
722 721
59 490
562 390
595 510
31 743
1033 284
1104 143
93 97
336 337
202 681
812 675
819 804
987 21
978 979
1113 1073
510 533
330 1115
712 3
427 218
1051 840
600 497
472 663
908 580
1093 127
730 258
302 400
899 955
1021 625
90 585
931 292
1113 120
291 152
138 1057
1058 1057
599 143
1011 1047
902 333
1116 1115
684 1004
330 738
159 731
784 1002
961 816
530 119
449 450
627 763
329 307
941 711
901 228
589 901
804 799
625 425
280 817
240 553
16 290
325 649
1005 1096
462 599
992 928
807 552
416 884
247 387
497 232
608 280
277 446
38 293
708 847
407 1044
984 811
1049 24
1099 202
580 430
297 302
218 551
548 724
42 93
955 606
1058 589
1033 565
72 286
452 14
957 17
539 918
390 356
267 653
576 652
79 311
411 147
9 934
924 1062
757 478
375 692
515 819
891 996
224 155
575 267
95 323
518 1066
1071 935
660 91
631 200
432 600
939 940
755 297
366 68
134 1091
232 544
70 294
1019 197
649 101
26 912
15 574
1079 722
152 733
525 96
288 464
750 856
828 320
914 396
640 628
714 919
818 699
491 790
419 160
264 389
92 169
420 404
948 1123
880 454
715 220
1121 627
243 144
82 42
40 833
1116 330
1014 532
653 707
702 312
1050 846
1117 602
447 266
266 1000
1094 225
282 148
724 86
347 746
621 305
24 449
694 78
1091 538
1108 768
802 1048
206 310
699 333
550 593
809 174
664 1076
683 231
201 1124
99 352
761 347
945 197
216 796
676 15
782 1054
391 1060
1066 739
732 940
150 13
1068 39
921 561
669 395
489 1112
832 288
737 1034
487 725
1076 975
962 594
310 521
645 210
393 757
435 250
234 824
582 581
41 145
649 916
313 196
617 616
522 65
1002 953
118 858
491 633
733 152
175 1038
424 674
32 33
616 617
226 731
529 861
444 80
809 530
394 632
615 786
54 387
288 371
288 40
407 406
561 889
241 700
643 642
1109 167
53 54
809 591
1057 1021
63 913
75 63
455 545
174 173
619 132
874 970
436 437
796 771
776 264
403 757
936 457
324 69
506 327
794 407
217 741
445 345
746 314
127 706
75 641
936 838
760 759
541 1022
953 339
146 931
430 1059
445 148
221 818
1071 149
396 1070
691 30
651 849
638 13
162 675
173 157
112 118
887 582
111 215
741 230
120 978
570 569
867 871
871 570
910 668
710 223
550 680
145 907
18 956
269 623
500 891
224 405
158 581
185 324
225 916
667 230
168 1091
202 698
578 591
541 710
120 979
511 696
1041 491
731 226
44 626
276 595
821 284
1123 559
284 143
373 858
667 844
1118 1117
846 899
546 595
654 508
1121 297
535 983
346 410
596 51
1054 211
398 182
410 63
401 769
