"from" "to"
146 68
143 166
41 97
88 81
151 70
126 31
29 126
2 29
13 73
108 16
135 5
102 116
39 102
129 74
69 65
97 136
14 59
147 146
129 138
138 153
151 17
17 70
82 151
109 61
41 156
166 109
156 59
5 40
73 135
81 94
14 114
108 39
9 165
15 162
30 149
35 8
158 15
35 110
149 79
1 6
34 165
51 110
9 51
164 30
12 35
98 36
105 119
36 62
121 47
24 39
80 19
129 3
128 158
6 93
111 134
119 128
99 34
164 162
1 148
148 3
93 9
111 158
98 79
117 55
134 67
89 43
106 97
50 105
72 33
72 154
62 159
130 71
58 18
75 58
56 4
4 77
157 160
160 56
76 163
10 86
40 21
132 40
124 120
120 28
145 124
92 121
77 75
118 64
64 127
10 2
37 113
43 7
40 135
74 42
130 67
91 150
125 68
136 99
99 27
38 167
30 54
27 35
25 131
66 72
87 90
86 17
143 46
53 132
60 38
63 66
123 101
62 103
55 122
22 71
164 130
18 58
12 111
91 101
62 36
96 167
101 46
155 20
94 85
48 52
32 89
24 108
20 24
83 112
78 83
52 78
112 155
107 11
163 141
141 23
85 37
127 49
58 118
115 140
116 84
31 21
44 48
144 57
113 155
57 44
135 125
45 63
69 26
92 139
167 100
106 129
50 54
25 33
117 8
123 161
140 18
28 17
84 137
131 105
66 26
80 68
19 141
7 144
49 2
137 115
157 88
53 142
142 32
161 100
104 60
151 45
36 133
46 139
136 76
42 104
54 95
111 90
87 66
120 21
23 107
22 133
96 8
103 152
150 152
22 122
145 11
