"from" "to"
505 424
362 79
646 668
178 700
516 40
466 75
500 252
618 306
484 676
638 167
552 680
353 21
689 691
239 290
42 457
512 637
75 193
348 417
637 582
122 585
625 425
193 289
48 60
488 470
625 679
119 304
263 150
382 572
472 471
80 582
399 534
576 577
193 493
362 487
485 203
471 472
364 80
119 38
122 512
290 289
576 60
173 591
366 81
472 470
509 302
21 535
340 36
221 478
631 630
140 385
501 521
494 633
534 676
634 705
680 509
6 23
340 18
147 653
633 1
250 40
181 1
607 655
148 682
578 501
143 413
43 682
430 95
531 530
700 701
574 680
200 206
685 330
439 518
302 521
615 39
272 354
525 452
411 617
193 8
43 429
687 291
572 399
299 53
548 346
633 505
404 106
535 591
109 95
605 329
409 299
214 1
628 634
645 646
246 387
109 108
181 204
66 332
376 375
59 401
265 404
475 250
619 274
2 108
14 224
424 228
92 246
148 201
329 274
480 478
554 605
360 442
494 629
325 604
707 628
107 574
558 445
387 388
618 457
629 707
88 689
262 493
444 465
452 103
295 654
580 568
253 267
39 133
12 14
108 110
691 603
167 640
1 204
267 253
321 106
616 615
566 550
473 181
534 399
346 537
582 443
567 580
206 317
147 691
66 93
6 224
556 165
480 637
445 451
525 165
537 531
410 604
660 314
594 572
654 620
206 638
368 212
383 364
623 466
455 290
371 38
471 407
204 1
314 467
518 522
442 542
130 417
522 181
187 368
475 214
390 85
187 336
41 210
431 563
104 584
310 277
630 631
593 137
137 285
247 593
258 499
623 111
183 41
75 53
79 11
495 323
111 73
249 623
249 111
305 58
447 341
481 402
265 559
310 418
132 449
519 325
41 183
476 183
543 82
253 446
513 514
242 209
698 560
168 242
283 563
426 13
177 116
599 332
370 448
488 370
597 254
522 547
517 211
184 185
373 46
241 23
313 380
119 370
384 448
188 94
322 196
73 299
218 598
121 22
116 361
78 350
217 39
255 264
287 402
233 55
127 400
527 34
654 538
650 570
462 149
175 377
357 615
488 99
312 462
317 206
649 186
363 282
161 196
153 352
339 161
172 499
590 73
152 153
674 152
674 305
111 623
